#{"t_start": 1733286343.4925592, "env_id": "Pusher-v5"}
r,l,t
-67.423879,100,53.1316
-74.629901,100,53.175366
-69.338631,100,53.217815
-65.778225,100,53.261732
-67.022239,100,53.823218
-61.844979,100,53.866496
-57.746469,100,53.913513
-69.787751,100,53.958959
-73.04751,100,54.00565
-60.913756,100,54.050527
-65.796519,100,54.097448
-61.297282,100,54.142612
-70.929065,100,54.189476
-70.258265,100,54.235174
-69.383689,100,54.281838
-59.653503,100,54.327638
-59.855699,100,54.372762
-64.914254,100,54.419515
-64.081046,100,54.464571
-68.455188,100,54.510241
-70.653487,100,54.553419
-61.557453,100,54.598416
-60.870046,100,54.6413
-65.15686,100,54.685464
-61.429704,100,54.728467
-64.497722,100,55.295307
-65.169318,100,55.337117
-60.12466,100,55.378313
-61.576061,100,55.421411
-70.439969,100,55.463231
-63.097825,100,55.512408
-69.100167,100,55.564432
-64.885836,100,55.609622
-67.91071,100,55.65158
-58.224541,100,55.693165
-66.803994,100,55.739814
-70.295629,100,55.78649
-59.889781,100,55.836982
-66.481897,100,55.881608
-59.005003,100,55.92669
-61.587232,100,55.970177
-61.975928,100,56.017118
-66.6949,100,56.063257
-61.429804,100,56.108881
-68.114607,100,56.152411
-65.744803,100,56.767892
-56.793647,100,56.812895
-62.023844,100,56.859294
-63.374583,100,56.903926
-58.448904,100,56.949976
-58.560258,100,56.994468
-58.899464,100,57.040991
-67.138332,100,57.085856
-60.195566,100,57.132077
-59.290897,100,57.176749
-62.95267,100,57.222028
-60.12809,100,57.269073
-67.604641,100,57.313559
-64.035368,100,57.35989
-61.650091,100,57.404998
-67.727047,100,57.452075
-61.508147,100,57.496593
-61.983894,100,57.542612
-60.651879,100,57.587372
-58.263314,100,57.631411
-62.603106,100,57.677128
-62.915461,100,58.231878
-57.116252,100,58.278324
-71.320597,100,58.323061
-56.985409,100,58.368534
-64.255017,100,58.41226
-56.205383,100,58.457822
-64.90143,100,58.502401
-60.908079,100,58.548034
-59.312058,100,58.593594
-56.912734,100,58.637761
-59.044443,100,58.683158
-65.079798,100,58.73962
-57.114401,100,58.794972
-59.299739,100,58.839746
-60.943461,100,58.886991
-64.203179,100,58.930507
-61.382321,100,58.978643
-62.731017,100,59.023588
-59.323066,100,59.070756
-65.52537,100,59.116257
-57.66759,100,59.699221
-61.111281,100,59.744095
-53.794518,100,59.790072
-56.70233,100,59.834017
-62.775343,100,59.879566
-62.701246,100,59.923932
-56.993451,100,59.967868
-66.263122,100,60.013432
-55.128797,100,60.056872
-56.900635,100,60.102225
-64.771614,100,60.14615
-58.570208,100,60.19113
-57.229512,100,60.235238
-56.689105,100,60.280111
-65.103724,100,60.32443
-60.543183,100,60.368011
-58.811878,100,60.413476
-58.098338,100,60.45751
-60.042703,100,60.502831
-63.0156,100,60.547082
-60.958729,100,60.593632
-58.215983,100,61.158336
-55.137401,100,61.206422
-51.989282,100,61.253843
-60.86848,100,61.30259
-57.731152,100,61.350201
-54.334269,100,61.398346
-65.806335,100,61.445767
-59.328094,100,61.492247
-67.801107,100,61.541338
-62.578658,100,61.587923
-58.57222,100,61.634906
-63.832367,100,61.678623
-60.64135,100,61.723901
-62.090328,100,61.768763
-54.654499,100,61.814622
-58.340857,100,61.859394
-50.689264,100,61.904962
-64.363704,100,61.949177
-58.273854,100,61.992982
-53.142161,100,62.039128
-50.447466,100,62.619889
-59.173129,100,62.667476
-67.940988,100,62.716037
-59.573147,100,62.763178
-57.199092,100,62.810236
-58.064588,100,62.858972
-55.853356,100,62.905626
-51.805355,100,62.954804
-60.541529,100,63.001371
-57.768633,100,63.050672
-62.70957,100,63.096504
-59.891514,100,63.145702
-53.261306,100,63.192184
-55.756478,100,63.240993
-60.234636,100,63.287841
-53.951738,100,63.336122
-55.532641,100,63.380166
-55.23625,100,63.42364
-53.906131,100,63.469726
-66.198847,100,63.513834
-55.029529,100,63.560751
-60.93048,100,64.115869
-51.792565,100,64.162112
-57.402121,100,64.206179
-52.078224,100,64.252247
-58.443561,100,64.296103
-61.91226,100,64.341609
-60.350137,100,64.385415
-54.122391,100,64.429343
-67.084718,100,64.475259
-62.07322,100,64.519835
-56.866815,100,64.567683
-57.975012,100,64.613982
-51.403214,100,64.662214
-52.572922,100,64.708446
-58.01634,100,64.756438
-60.106078,100,64.80057
-53.736777,100,64.845071
-55.68338,100,64.891691
-59.698122,100,64.936055
-55.40061,100,64.981852
-51.753731,100,65.540751
-61.145425,100,65.587635
-55.99735,100,65.631313
-56.661317,100,65.676682
-51.695297,100,65.720603
-49.616576,100,65.766343
-56.734967,100,65.810674
-50.981048,100,65.854504
-60.8773,100,65.900867
-52.774164,100,65.945077
-56.736767,100,65.991594
-62.51654,100,66.035568
-55.197629,100,66.08146
-48.768001,100,66.125773
-53.934982,100,66.171034
-57.587974,100,66.216187
-54.022645,100,66.259632
-54.236345,100,66.305652
-60.207114,100,66.349284
-51.546795,100,66.395429
-57.761273,100,66.439592
-51.71846,100,67.00601
-56.361439,100,67.054073
-62.696893,100,67.102797
-49.292194,100,67.148796
-53.90558,100,67.19747
-63.51947,100,67.243617
-53.130273,100,67.291478
-60.007287,100,67.33797
-48.305732,100,67.383503
-54.304904,100,67.431076
-60.121876,100,67.476685
-48.354513,100,67.524069
-58.732724,100,67.570791
-49.040869,100,67.618749
-61.554442,100,67.664886
-52.310041,100,67.712018
-52.538882,100,67.755707
-59.341263,100,67.802092
-51.738637,100,67.845609
-54.630272,100,67.888878
-57.651179,100,68.470874
-57.29566,100,68.517941
-49.226715,100,68.565221
-57.619385,100,68.613668
-52.224845,100,68.660475
-50.477881,100,68.709428
-57.339503,100,68.756202
-52.955956,100,68.803231
-52.392942,100,68.852155
-49.634382,100,68.899406
-55.178026,100,68.948158
-56.541173,100,68.995509
-45.323617,100,69.044448
-51.931331,100,69.091455
-47.285776,100,69.139452
-57.355234,100,69.186131
-48.442724,100,69.234741
-58.26362,100,69.281658
-59.898665,100,69.330378
-55.753665,100,69.376655
-52.670457,100,69.424539
-51.437785,100,69.991069
-60.068238,100,70.038837
-56.140049,100,70.08283
-58.806212,100,70.127079
-53.384434,100,70.172701
-59.124455,100,70.216312
-49.296954,100,70.262895
-51.955118,100,70.307698
-50.873901,100,70.353699
-44.927812,100,70.397514
-57.676549,100,70.443691
-48.430163,100,70.488246
-52.985615,100,70.531915
-46.193947,100,70.578328
-54.822305,100,70.623303
-48.423294,100,70.670933
-51.582453,100,70.715827
-56.230487,100,70.762369
-52.273858,100,70.806141
-53.726849,100,70.852246
-59.793756,100,71.426059
-50.820821,100,71.475672
-48.483624,100,71.522488
-42.568929,100,71.570845
-45.707493,100,71.616346
-62.740663,100,71.665457
-48.045862,100,71.711042
-43.388506,100,71.759772
-52.181711,100,71.806835
-48.905715,100,71.851611
-47.116267,100,71.898507
-62.317995,100,71.941531
-55.661451,100,71.987603
-54.384562,100,72.030946
-50.276232,100,72.076488
-52.184676,100,72.119913
-57.156593,100,72.163479
-47.897253,100,72.209296
-52.771153,100,72.252165
-54.359805,100,72.29802
-57.287045,100,72.34123
-50.827664,100,72.925283
-53.365256,100,72.969912
-54.878027,100,73.016679
-49.15359,100,73.061112
-46.015812,100,73.107524
-42.60819,100,73.152005
-63.161094,100,73.197242
-51.330788,100,73.240724
